id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,dte
QQQ240501C00431000-2024-04-19,options-eod,QQQ240501C00431000,QQQ,2024-05-01,weekly,call,431.0,NASDAQ,USD,3.05,3.05,1.15,1.2,1.0,,,,,1.1,2024-04-19 15:14:59,148.0,1.15,2024-04-19 15:14:59,127,,227.0,,,304.0,,,0.2035,,,1.13,0.150491,0.015954,-0.164025,0.168199,0.018468,2024-04-19,,,,
QQQ240501C00430000-2024-04-19,options-eod,QQQ240501C00430000,QQQ,2024-05-01,weekly,call,430.0,NASDAQ,USD,2.86,3.13,1.12,1.29,15.0,,,,,1.26,2024-04-19 15:14:59,303.0,1.32,2024-04-19 15:14:59,87,,347.0,,,418.0,,,0.2043,,,1.29,0.167423,0.017038,-0.176927,0.180373,0.020534,2024-04-19,,,,
QQQ240501C00429000-2024-04-19,options-eod,QQQ240501C00429000,QQQ,2024-05-01,weekly,call,429.0,NASDAQ,USD,3.83,3.83,1.5,1.5,1.0,,,,,1.45,2024-04-19 15:15:00,185.0,1.52,2024-04-19 15:15:00,145,,280.0,,,13.0,,,0.2066,,,1.5,0.187122,0.018079,-0.192203,0.193501,0.022933,2024-04-19,,,,
QQQ240501C00427000-2024-04-19,options-eod,QQQ240501C00427000,QQQ,2024-05-01,weekly,call,427.0,NASDAQ,USD,4.49,4.49,1.91,1.91,2.0,,,,,1.91,2024-04-19 15:14:59,91.0,1.97,2024-04-19 15:14:59,100,,128.0,,,28.0,,,0.2075,,,1.91,0.225222,0.020092,-0.216366,0.215997,0.02757,2024-04-19,,,,
QQQ240501C00426000-2024-04-19,options-eod,QQQ240501C00426000,QQQ,2024-05-01,weekly,call,426.0,NASDAQ,USD,4.28,4.28,2.12,2.21,3.0,,,,,2.17,2024-04-19 15:14:59,85.0,2.23,2024-04-19 15:14:59,262,,52.0,,,42.0,,,0.2108,,,2.21,0.24887,0.020889,-0.232645,0.228182,0.030435,2024-04-19,,,,
QQQ240501C00422000-2024-04-19,options-eod,QQQ240501C00422000,QQQ,2024-05-01,weekly,call,422.0,NASDAQ,USD,6.65,6.96,3.33,3.39,1.0,,,,,3.44,2024-04-19 15:15:00,91.0,3.51,2024-04-19 15:15:00,74,,388.0,,,8.0,,,0.2165,,,3.48,0.341504,0.023555,-0.27905,0.264174,0.04163,2024-04-19,,,,
QQQ240501C00421000-2024-04-19,options-eod,QQQ240501C00421000,QQQ,2024-05-01,weekly,call,421.0,NASDAQ,USD,7.13,7.51,3.74,3.74,10.0,,,,,3.82,2024-04-19 15:15:00,96.0,3.89,2024-04-19 15:15:00,146,,733.0,,,22.0,,,0.218,,,3.86,0.365967,0.023976,-0.288773,0.270781,0.044572,2024-04-19,,,,
QQQ240501C00424000-2024-04-19,options-eod,QQQ240501C00424000,QQQ,2024-05-01,weekly,call,424.0,NASDAQ,USD,5.87,5.87,2.63,2.65,5.0,,,,,2.75,2024-04-19 15:15:00,100.0,2.82,2024-04-19 15:15:00,80,,105.0,,,25.0,,,0.2133,,,2.79,0.293634,0.022429,-0.256684,0.247816,0.035856,2024-04-19,,,,
QQQ240501C00428000-2024-04-19,options-eod,QQQ240501C00428000,QQQ,2024-05-01,weekly,call,428.0,NASDAQ,USD,3.11,3.21,1.52,1.52,1.0,,,,,1.66,2024-04-19 15:14:59,502.0,1.73,2024-04-19 15:14:59,113,,18.0,,,19.0,,,0.207,,,1.7,0.20564,0.019104,-0.204344,0.204893,0.025188,2024-04-19,,,,
QQQ240501C00423000-2024-04-19,options-eod,QQQ240501C00423000,QQQ,2024-05-01,weekly,call,423.0,NASDAQ,USD,6.05,6.05,3.02,3.02,10.0,,,,,3.08,2024-04-19 15:15:00,70.0,3.15,2024-04-19 15:15:00,165,,145.0,,,10.0,,,0.2148,,,3.12,0.317251,0.023049,-0.268129,0.256465,0.038708,2024-04-19,,,,
QQQ240501C00425000-2024-04-19,options-eod,QQQ240501C00425000,QQQ,2024-05-01,weekly,call,425.0,NASDAQ,USD,5.3,5.46,2.2,2.47,1.0,,,,,2.45,2024-04-19 15:14:59,94.0,2.51,2024-04-19 15:14:59,158,,849.0,,,108.0,,,0.2114,,,2.47,0.270213,0.02174,-0.243912,0.238087,0.033024,2024-04-19,,,,
