id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,exp_date,trade_dt,dte
QQQ231002C00413000,options-contracts,QQQ231002C00413000,QQQ,2023-10-02,weekly,call,413.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00411000,options-contracts,QQQ231002C00411000,QQQ,2023-10-02,weekly,call,411.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00410000,options-contracts,QQQ231002C00410000,QQQ,2023-10-02,weekly,call,410.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00409000,options-contracts,QQQ231002C00409000,QQQ,2023-10-02,weekly,call,409.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00408000,options-contracts,QQQ231002C00408000,QQQ,2023-10-02,weekly,call,408.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00407000,options-contracts,QQQ231002C00407000,QQQ,2023-10-02,weekly,call,407.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00406000,options-contracts,QQQ231002C00406000,QQQ,2023-10-02,weekly,call,406.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00405000,options-contracts,QQQ231002C00405000,QQQ,2023-10-02,weekly,call,405.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:55,,0.01,2023-10-02 15:14:55,600.0,,,,,20.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00404000,options-contracts,QQQ231002C00404000,QQQ,2023-10-02,weekly,call,404.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00403000,options-contracts,QQQ231002C00403000,QQQ,2023-10-02,weekly,call,403.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:55,,0.01,2023-10-02 15:14:55,600.0,,,,,10.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
