Date,Close/Last,Volume,Open,High,Low,type,strike,open,high,low,last,last_size,change,pctchange,previous,bid,bid_size,ask,ask_size,moneyness,volume,volume_change,volume_pctchange,open_interest,open_interest_change,open_interest_pctchange,volatility,volatility_change,volatility_pctchange,theoretical,delta,gamma,theta,vega,rho,vol_oi_ratio,dte,midpoint
2025-04-09,12.77,787748800,8.475,13.11,8.24,put,8.5,0.42,1.42,0.33,0.73,20,0.51,231.82,0.22,0.71,5,0.74,22,-0.12,7641,856,12.62,4784,3909,446.74,2.4408,0.0676,2.85,0.73,-0.294455,0.105952,-0.079772,0.004597,-0.000611,1.6,7,0.73
2025-04-09,12.77,787748800,8.475,13.11,8.24,put,11.5,1.54,3.0,1.44,2.72,101,1.98,267.57,0.74,2.34,6,2.42,10,0.19,626,20,3.3,1111,104,10.33,2.1238,0.3311,18.47,2.38,-0.675361,0.127182,-0.071905,0.004797,-0.001401,0.56,7,2.38
2025-04-09,12.77,787748800,8.475,13.11,8.24,put,11.0,1.21,3.02,1.12,2.03,10,1.44,244.07,0.59,1.98,10,2.05,12,0.14,2419,118,5.13,2715,442,19.45,2.172,0.3257,17.64,2.03,-0.614128,0.132194,-0.078342,0.005101,-0.001273,0.89,7,2.01
2025-04-09,12.77,787748800,8.475,13.11,8.24,put,10.0,0.66,2.3,0.66,1.36,10,0.94,223.81,0.42,1.36,22,1.41,22,0.04,6195,1814,41.41,2990,659,28.27,2.1663,0.0811,3.89,1.36,-0.489457,0.13814,-0.081666,0.005318,-0.001008,2.07,7,1.39
2025-04-09,12.77,787748800,8.475,13.11,8.24,put,9.5,0.5,1.86,0.5,1.14,1,0.83,267.74,0.31,1.12,57,1.15,22,-0.01,3831,1747,83.83,1450,-81,-5.29,2.2951,0.1916,9.11,1.14,-0.419262,0.127735,-0.084884,0.005211,-0.00087,2.64,7,1.14
2025-04-09,12.77,787748800,8.475,13.11,8.24,put,9.0,0.52,1.65,0.43,0.92,1,0.65,240.74,0.27,0.89,6,0.92,21,-0.0699999999999999,7583,3600,90.38,3409,-33,-0.96,2.3671,0.1066,4.72,0.92,-0.354785,0.117963,-0.083469,0.004964,-0.000737,2.22,7,0.91
2025-04-09,12.77,787748800,8.475,13.11,8.24,call,8.5,2.76,2.76,1.28,1.86,3,-2.77,-59.83,4.63,1.83,20,1.9,7,0.12,1972,364,22.64,601,-305,-33.66,2.4261,-0.3368,-12.19,1.86,0.706098,0.106475,-0.080186,0.004593,0.000947,3.28,7,1.87
2025-04-08,8.25,488735500,10.41,10.84,7.6,put,10.5,2.45,2.75,0.47,0.52,1,-2.68,-83.75,3.2,0.47,21,0.53,29,-0.18,1545,-1063,-40.76,1602,918,134.21,2.0053,-0.3271,-14.02,0.52,-0.208797,0.075786,-0.067716,0.00543,-0.000633,0.96,8,0.5
2025-04-08,8.25,488735500,10.41,10.84,7.6,put,9.5,2.07,2.07,0.31,0.31,60,-1.79,-85.24,2.1,0.3,1,0.37,42,-0.26,2084,-357,-14.63,1531,1297,554.27,2.1035,-0.3243,-13.36,0.31,-0.13384,0.054283,-0.053429,0.004081,-0.000405,1.36,8,0.33
2025-04-08,8.25,488735500,10.41,10.84,7.6,put,8.5,1.42,1.48,0.21,0.22,1,-1.38,-86.25,1.6,0.2,2,0.22,6,-0.3299999999999999,6785,4560,204.94,875,319,57.37,2.3732,-0.1812,-7.09,0.22,-0.090656,0.036392,-0.045636,0.003087,-0.000278,7.75,8,0.21
